step,x,y,vx,vy,angle,angular_velocity,left_leg,right_leg,action,action_text,value,reward,success,crash,timeout
0,0.007721233181655407,1.414934515953064,0.7820580005645752,0.1783943474292755,-0.008940156549215317,-0.17714783549308777,0.0,0.0,1,left_engine,1.4508360624313354,0.3934615303217879,0,0,0
1,0.015374278649687767,1.4183731079101562,0.7724167108535767,0.15277032554149628,-0.01597188599407673,-0.14064671099185944,0.0,0.0,1,left_engine,1.4388000965118408,0.588950078187197,0,0,0
2,0.022950459271669388,1.4212175607681274,0.7627627849578857,0.1263536810874939,-0.021058008074760437,-0.10173193365335464,0.0,0.0,1,left_engine,1.432869791984558,0.6342300438442419,0,0,0
3,0.03045826032757759,1.4234678745269775,0.7541698813438416,0.09996533393859863,-0.02441595494747162,-0.06716515123844147,0.0,0.0,1,left_engine,1.4222952127456665,0.7395751042412837,0,0,0
4,0.03789987415075302,1.4251325130462646,0.745882511138916,0.07394937425851822,-0.026104530319571495,-0.03377463296055794,0.0,0.0,1,left_engine,1.4241989850997925,1.0098162816342449,0,0,0
5,0.04526691511273384,1.426209807395935,0.7364946603775024,0.04788614809513092,-0.025904320180416107,0.004004523623734713,0.0,0.0,1,left_engine,1.4169888496398926,1.2165974753082207,0,0,0
6,0.05255594104528427,1.426682472229004,0.7267149686813354,0.02104010432958603,-0.023746438324451447,0.04316199570894241,0.0,0.0,1,left_engine,1.404914140701294,1.2498629692936458,0,0,0
7,0.0597749724984169,1.4265540838241577,0.7179542779922485,-0.005643829703330994,-0.019835060462355614,0.07823462784290314,0.0,0.0,1,left_engine,1.3976870775222778,1.649676493138686,0,0,0
8,0.06690654903650284,1.425836443901062,0.7069765329360962,-0.031827207654714584,-0.013722783885896206,0.12225674092769623,0.0,0.0,1,left_engine,1.3832011222839355,1.7093135580293801,0,0,0
9,0.07395801693201065,1.4245163202285767,0.6969295740127563,-0.05861328914761543,-0.005602650810033083,0.16241763532161713,0.0,0.0,1,left_engine,1.3739469051361084,0.9416778712273424,0,0,0
10,0.0809304267168045,1.4225928783416748,0.6870240569114685,-0.08548343926668167,0.004495888948440552,0.2019893229007721,0.0,0.0,1,left_engine,1.3757035732269287,-0.4068214504278831,0,0,0
11,0.08782138675451279,1.4200688600540161,0.6768187880516052,-0.11225495487451553,0.01663234457373619,0.24275147914886475,0.0,0.0,1,left_engine,1.380741000175476,-0.4977147883495536,0,0,0
12,0.09461431205272675,1.4169567823410034,0.6645379662513733,-0.138542041182518,0.03121810033917427,0.29174187779426575,0.0,0.0,1,left_engine,1.3981267213821411,-0.8347929291196852,0,0,0
