step,x,y,vx,vy,angle,angular_velocity,left_leg,right_leg,action,action_text,value,reward,success,crash,timeout
0,0.0021389008034020662,1.4089285135269165,0.2166401445865631,-0.08851191401481628,-0.002471744082868099,-0.04907219484448433,0.0,0.0,1,left_engine,1.5232009887695312,-0.24960677861937938,0,0,0
1,0.004217243287712336,1.40636146068573,0.20873817801475525,-0.11409242451190948,-0.0033705104142427444,-0.01797623559832573,0.0,0.0,1,left_engine,1.536934733390808,-0.31389535442474314,0,0,0
2,0.006225395016372204,1.4031850099563599,0.19993826746940613,-0.14117830991744995,-0.0025039503816515207,0.017332948744297028,0.0,0.0,1,left_engine,1.5544873476028442,-0.3787618133444244,0,0,0
3,0.008164787665009499,1.3994112014770508,0.19130444526672363,-0.16772761940956116,9.28870722418651e-05,0.051941484212875366,0.0,0.0,1,left_engine,1.5923941135406494,-1.2462551370903998,0,0,0
4,0.010031795129179955,1.3950350284576416,0.1822396218776703,-0.19449836015701294,0.004505084361881018,0.08825209736824036,0.0,0.0,1,left_engine,1.6421515941619873,-1.4794716927796674,0,0,0
5,0.01180410385131836,1.3900587558746338,0.17036639153957367,-0.22120006382465363,0.011294296942651272,0.13579651713371277,0.0,0.0,0,noop,1.6503353118896484,-2.278799371352136,0,0,0
6,0.013576221652328968,1.3844832181930542,0.17034602165222168,-0.24787144362926483,0.01808176375925541,0.13576212525367737,0.0,0.0,0,noop,1.713821530342102,-2.295483067114276,0,0,0
7,0.015348052605986595,1.3783082962036133,0.17032603919506073,-0.27454298734664917,0.02486865594983101,0.1357506811618805,0.0,0.0,0,noop,1.7786203622817993,-2.297304371808252,0,0,0
8,0.017119789496064186,1.371533751487732,0.17030632495880127,-0.3012145459651947,0.03165452927350998,0.1357298344373703,0.0,0.0,0,noop,1.8421167135238647,-2.2876605076058922,0,0,0
9,0.018891239538788795,1.3641599416732788,0.17028644680976868,-0.3278862535953522,0.0384393110871315,0.13570818305015564,0.0,0.0,0,noop,1.89861261844635,-2.2690764431318655,0,0,0
10,0.020662497729063034,1.3561866283416748,0.17026670277118683,-0.35455816984176636,0.045223020017147064,0.13568681478500366,0.0,0.0,0,noop,1.9467353820800781,-2.243441597411106,0,0,0
