step,x,y,vx,vy,angle,angular_velocity,left_leg,right_leg,action,action_text,value,reward,success,crash,timeout
0,-0.007832909002900124,1.403077244758606,-0.7934085130691528,-0.34859222173690796,0.00908321887254715,0.17971888184547424,0.0,0.0,3,right_engine,1.8408817052841187,0.06270518320204246,0,0,0
1,-0.015587234869599342,1.3946658372879028,-0.7823929190635681,-0.3738991320133209,0.015968408435583115,0.13771747052669525,0.0,0.0,3,right_engine,1.8489093780517578,-0.15469002955214137,0,0,0
2,-0.023279953747987747,1.385661244392395,-0.7746604681015015,-0.400275319814682,0.021292971447110176,0.10650094598531723,0.0,0.0,3,right_engine,1.858757495880127,0.20182347270196146,0,0,0
3,-0.030895520001649857,1.376070499420166,-0.764947235584259,-0.4263024926185608,0.024661315605044365,0.06737304478883743,0.0,0.0,3,right_engine,1.8715224266052246,0.18738425488652524,0,0,0
4,-0.03844613954424858,1.365889310836792,-0.7568227648735046,-0.4525284469127655,0.02639511413872242,0.03467903658747673,0.0,0.0,3,right_engine,1.8826531171798706,0.22310941048962832,0,0,0
5,-0.04593677446246147,1.355100154876709,-0.7492899894714355,-0.4795145094394684,0.02662123367190361,0.004522760398685932,0.0,0.0,3,right_engine,1.8872103691101074,0.566506157480519,0,0,0
6,-0.0533510223031044,1.3437060117721558,-0.7397070527076721,-0.5063811540603638,0.024928703904151917,-0.03385373204946518,0.0,0.0,3,right_engine,1.8916535377502441,0.5951037132415717,0,0,0
7,-0.06070299074053764,1.3317246437072754,-0.7319096922874451,-0.5324540138244629,0.021669724956154823,-0.06518566608428955,0.0,0.0,3,right_engine,1.9077165126800537,1.093743928169688,0,0,0
8,-0.06796093285083771,1.3191419839859009,-0.7200969457626343,-0.5591551065444946,0.0160459466278553,-0.11248622089624405,0.0,0.0,3,right_engine,1.9464868307113647,1.0947634400468769,0,0,0
9,-0.07514362037181854,1.3059695959091187,-0.710673451423645,-0.585383415222168,0.008535799570381641,-0.15021680295467377,0.0,0.0,3,right_engine,1.9729504585266113,1.2264050719478814,0,0,0
10,-0.08222875744104385,1.2922004461288452,-0.6984434127807617,-0.6119276881217957,-0.0014204526087269187,-0.19914332032203674,0.0,0.0,3,right_engine,1.9945601224899292,-0.9447147142872996,0,0,0
11,-0.08924684673547745,1.2778407335281372,-0.6900394558906555,-0.6382633447647095,-0.013052677735686302,-0.2326660454273224,0.0,0.0,3,right_engine,2.00849986076355,-1.0206110974932858,0,0,0
12,-0.09617938846349716,1.26288640499115,-0.6793413758277893,-0.6648102402687073,-0.026819629594683647,-0.2753641903400421,0.0,0.0,3,right_engine,2.0419411659240723,-1.2379857832837604,0,0,0
13,-0.1030174270272255,1.2473260164260864,-0.6674982309341431,-0.6919506788253784,-0.04295331984758377,-0.32270339131355286,0.0,0.0,3,right_engine,2.070924758911133,-1.6030396275080523,0,0,0
14,-0.10978660732507706,1.2311748266220093,-0.6588906049728394,-0.7184445858001709,-0.06079454720020294,-0.356857568025589,0.0,0.0,3,right_engine,2.1109707355499268,-1.8926066203913183,0,0,0
15,-0.11649446189403534,1.2144135236740112,-0.6512354016304016,-0.7458553314208984,-0.0801701694726944,-0.38754764199256897,0.0,0.0,3,right_engine,2.1406171321868896,-1.8847588480443551,0,0,0
16,-0.12311553955078125,1.1970514059066772,-0.6404091119766235,-0.7729608416557312,-0.10170643776655197,-0.4307650625705719,0.0,0.0,2,main_engine,2.236839771270752,2.036908877084227,0,0,0
17,-0.1296979933977127,1.1804850101470947,-0.6363308429718018,-0.7379266619682312,-0.12350518256425858,-0.4360145926475525,0.0,0.0,2,main_engine,2.2323036193847656,-0.48084987605709556,0,0,0
18,-0.13617315888404846,1.1638405323028564,-0.6259511709213257,-0.7416771650314331,-0.14500568807125092,-0.43004900217056274,0.0,0.0,2,main_engine,2.280107021331787,0.6372767410879703,0,0,0
19,-0.14266376197338104,1.1477049589157104,-0.626998245716095,-0.7194346785545349,-0.16707739233970642,-0.4414744973182678,0.0,0.0,2,main_engine,2.275451183319092,0.07530889503872801,0,0,0
20,-0.14905862510204315,1.131711483001709,-0.6175680160522461,-0.713432252407074,-0.1890919953584671,-0.44033175706863403,0.0,0.0,2,main_engine,2.267422914505005,-0.3676899832091635,0,0,0
21,-0.15547379851341248,1.1159721612930298,-0.6190942525863647,-0.7025489807128906,-0.21169745922088623,-0.45215025544166565,0.0,0.0,2,main_engine,2.2388198375701904,-1.024662507895232,0,0,0
22,-0.16189976036548615,1.1002933979034424,-0.6198188066482544,-0.7002704739570618,-0.23478174209594727,-0.46172720193862915,0.0,0.0,2,main_engine,2.1746625900268555,0.4389462056295315,0,0,0
23,-0.16829843819141388,1.0850735902786255,-0.6165844202041626,-0.6803194284439087,-0.2585049271583557,-0.47450655698776245,0.0,0.0,2,main_engine,2.137932062149048,0.5533569267305551,0,0,0
24,-0.17441043257713318,1.0698277950286865,-0.5888851881027222,-0.6816921234130859,-0.281396746635437,-0.4578774869441986,0.0,0.0,2,main_engine,2.2059762477874756,2.379575728149189,0,0,0
25,-0.18033313751220703,1.0553038120269775,-0.5701528191566467,-0.6499305963516235,-0.30420729517936707,-0.4562334418296814,0.0,0.0,2,main_engine,2.220743417739868,-0.14739428917959002,0,0,0
26,-0.1860608160495758,1.040738821029663,-0.5507612824440002,-0.6521053910255432,-0.32704514265060425,-0.456757128238678,0.0,0.0,2,main_engine,2.1928558349609375,1.1862168563079478,0,0,0
27,-0.1914864480495453,1.0263285636901855,-0.5212740302085876,-0.6454337239265442,-0.3493070900440216,-0.44523900747299194,0.0,0.0,2,main_engine,2.2206788063049316,0.6622503372090989,0,0,0
28,-0.19672289490699768,1.0121338367462158,-0.5024886131286621,-0.6361759305000305,-0.37160664796829224,-0.4459908902645111,0.0,0.0,2,main_engine,2.22011137008667,-0.17187220465676772,0,0,0
29,-0.20184345543384552,0.9980584383010864,-0.49080973863601685,-0.6312565207481384,-0.39421194791793823,-0.45210570096969604,0.0,0.0,2,main_engine,2.1894752979278564,0.2571798111288331,0,0,0
30,-0.2067030370235443,0.9839750528335571,-0.4652903079986572,-0.6318212747573853,-0.41640302538871765,-0.44382089376449585,0.0,0.0,2,main_engine,2.1861484050750732,-0.6926482586135194,0,0,0
31,-0.2114359438419342,0.9698492884635925,-0.4526762068271637,-0.6340498328208923,-0.43875277042388916,-0.4469946324825287,0.0,0.0,1,left_engine,2.126107931137085,-3.159264440128054,0,0,0
32,-0.21624994277954102,0.9552006125450134,-0.46332311630249023,-0.6568461656570435,-0.4585486948490143,-0.39591851830482483,0.0,0.0,2,main_engine,2.2271313667297363,1.188264777475706,0,0,0
33,-0.22074846923351288,0.9406535625457764,-0.43226829171180725,-0.6524451971054077,-0.47799399495124817,-0.38890618085861206,0.0,0.0,1,left_engine,2.2313308715820312,-2.836821645666076,0,0,0
34,-0.22531533241271973,0.9255712628364563,-0.44121819734573364,-0.6757684350013733,-0.4952651262283325,-0.34542232751846313,0.0,0.0,2,main_engine,2.27127742767334,1.0521718411587642,0,0,0
35,-0.22972449660301208,0.9107465744018555,-0.4250422418117523,-0.6646974682807922,-0.5131500959396362,-0.35769960284233093,0.0,0.0,1,left_engine,2.1949024200439453,-2.685666868574826,0,0,0
36,-0.2342054843902588,0.8953841924667358,-0.4343501031398773,-0.6880244016647339,-0.5287905931472778,-0.312810480594635,0.0,0.0,2,main_engine,2.2224411964416504,4.7430890747282435,0,0,0
37,-0.2382882535457611,0.880892813205719,-0.3940451443195343,-0.6496842503547668,-0.5451284646987915,-0.3267575800418854,0.0,0.0,1,left_engine,2.242323160171509,-2.518700914338267,0,0,0
38,-0.24241991341114044,0.8658585548400879,-0.4005381464958191,-0.6733673214912415,-0.5597687363624573,-0.29280567169189453,0.0,0.0,1,left_engine,2.2334041595458984,-2.299724640811944,0,0,0
39,-0.246619313955307,0.8502947688102722,-0.40935444831848145,-0.6961990594863892,-0.5721427798271179,-0.2474813163280487,0.0,0.0,2,main_engine,2.3044514656066895,1.7989769945313696,0,0,0
40,-0.2505451738834381,0.8348982930183411,-0.38189932703971863,-0.688934862613678,-0.5847334861755371,-0.2518147826194763,0.0,0.0,1,left_engine,2.2881524562835693,-2.0690890618235174,0,0,0
41,-0.2545417845249176,0.8189742565155029,-0.3910575807094574,-0.7115609645843506,-0.5949519276618958,-0.20436827838420868,0.0,0.0,2,main_engine,2.3649508953094482,3.9364451113139127,0,0,0
42,-0.25814247131347656,0.8035838007926941,-0.3511546552181244,-0.6880801320075989,-0.6056118607521057,-0.21319913864135742,0.0,0.0,1,left_engine,2.3837695121765137,-1.8784408604193732,0,0,0
43,-0.26180219650268555,0.7876614928245544,-0.35884183645248413,-0.710979163646698,-0.6141955256462097,-0.17167295515537262,0.0,0.0,2,main_engine,2.409958600997925,2.654077265190563,0,0,0
44,-0.2650138735771179,0.771853506565094,-0.31443172693252563,-0.7057788968086243,-0.6223549246788025,-0.16318771243095398,0.0,0.0,1,left_engine,2.464573621749878,-1.5790901674260727,0,0,0
45,-0.2682766914367676,0.7555148005485535,-0.32116833329200745,-0.7286274433135986,-0.6285768747329712,-0.12443927675485611,0.0,0.0,2,main_engine,2.5007996559143066,4.446117410798434,0,0,0
46,-0.2710011899471283,0.739643394947052,-0.2674180269241333,-0.7078418135643005,-0.6347198486328125,-0.12286011129617691,0.0,0.0,1,left_engine,2.511012554168701,-1.3459303738813435,0,0,0
47,-0.27379220724105835,0.7232517600059509,-0.27605050802230835,-0.7300223708152771,-0.6384658813476562,-0.07492121309041977,0.0,0.0,1,left_engine,2.6193926334381104,-1.0706459996176807,0,0,0
48,-0.2766616940498352,0.7063419222831726,-0.2860729396343231,-0.7519766688346863,-0.6395397782325745,-0.02147797681391239,0.0,0.0,2,main_engine,2.691103219985962,1.6228106054755755,0,0,0
49,-0.27932611107826233,0.6894039511680603,-0.26533743739128113,-0.7533479928970337,-0.6409049034118652,-0.02730211615562439,0.0,0.0,2,main_engine,2.6171584129333496,4.0307958561802595,0,0,0
50,-0.28158101439476013,0.6728897094726562,-0.22408577799797058,-0.7346645593643188,-0.6426386833190918,-0.03467556834220886,0.0,0.0,1,left_engine,2.5448899269104004,-0.9247545396738406,0,0,0
51,-0.28389763832092285,0.6558429002761841,-0.23198756575584412,-0.7574812173843384,-0.6422343850135803,0.008085542358458042,0.0,0.0,2,main_engine,2.613682746887207,1.8728946326437608,0,0,0
52,-0.2859654426574707,0.6387920379638672,-0.20696747303009033,-0.7577199935913086,-0.6420099139213562,0.004489960614591837,0.0,0.0,1,left_engine,2.5033645629882812,-0.6388174039279864,0,0,0
53,-0.288113534450531,0.6212188005447388,-0.21714815497398376,-0.7798764109611511,-0.6391330361366272,0.05753728747367859,0.0,0.0,2,main_engine,2.6204659938812256,3.276466273261815,0,0,0
54,-0.28998422622680664,0.6039171814918518,-0.18894115090370178,-0.7680321931838989,-0.6368290185928345,0.046079885214567184,0.0,0.0,2,main_engine,2.4908342361450195,2.67984318624151,0,0,0
